,real,predict
1991-01-09,84.53,
1991-01-10,84.19,
1991-01-11,84.28999,
1991-01-14,84.83,
1991-01-15,84.84999,
1991-01-16,85.11,
1991-01-17,83.37,
1991-01-18,82.94,
1991-01-21,82.59,
1991-01-22,82.78999,
1991-01-23,82.21001,
1991-01-24,82.46001,
1991-01-25,82.63,
1991-01-28,82.40999000000001,
1991-01-29,82.7,
1991-01-30,82.34,
1991-01-31,82.0,
1991-02-01,81.64,
1991-02-04,81.38,
1991-02-05,81.06,
1991-02-06,80.52,
1991-02-07,80.87,
1991-02-08,80.84,
1991-02-11,80.49001,
1991-02-12,80.89,
1991-02-13,81.23,
1991-02-14,81.36,
1991-02-15,81.92,
1991-02-19,82.61,
1991-02-20,82.67,
1991-02-21,82.47,
1991-02-22,83.12,
1991-02-25,83.85001,
1991-02-26,83.92999,
1991-02-27,83.84,
1991-02-28,84.07001,
1991-03-01,84.84,
1991-03-04,84.73,
1991-03-05,85.05,
1991-03-06,84.94,
1991-03-07,85.24001,
1991-03-08,86.31,
1991-03-11,86.89999,
1991-03-12,86.21001,
1991-03-13,86.35001,
1991-03-14,86.72,
1991-03-15,87.89999,
1991-03-18,88.87,
1991-03-19,89.64,
1991-03-20,89.41,
1991-03-21,88.87,
1991-03-22,89.47,
1991-03-25,91.08,
1991-03-26,91.03999,
1991-03-27,91.87,
1991-03-28,92.00999,
1991-04-01,90.55,
1991-04-02,90.35001,
1991-04-03,90.46001,
1991-04-04,89.92999,
1991-04-05,90.64,
1991-04-08,90.96001,
1991-04-09,89.62,
1991-04-10,90.52,
1991-04-11,89.94,
1991-04-12,90.36,
1991-04-15,89.64,
1991-04-16,89.57001,
1991-04-17,89.84,
1991-04-18,91.35001,
1991-04-19,92.71001,
1991-04-22,93.81,
1991-04-23,92.92999,
1991-04-24,93.14999,
1991-04-25,93.25999,
1991-04-26,93.46001,
1991-04-29,93.31,
1991-04-30,91.53999,
1991-05-01,91.86,
1991-05-02,92.25999,
1991-05-03,93.41,
1991-05-06,92.69,
1991-05-07,92.07001,
1991-05-08,92.60001,
1991-05-09,92.50999,
1991-05-10,92.38,
1991-05-13,92.00999,
1991-05-14,91.28999,
1991-05-15,90.78999,
1991-05-16,91.14999,
1991-05-17,92.95,
1991-05-20,92.72,
1991-05-21,91.82001,
1991-05-22,92.27,
1991-05-23,91.89999,
1991-05-24,91.67999,
1991-05-28,91.17,
1991-05-29,92.02,
1991-05-30,92.17999,
1991-05-31,93.14999,
1991-06-03,93.44,
1991-06-04,93.27,
1991-06-05,93.49001,
1991-06-06,93.7,
1991-06-07,94.56,
1991-06-10,94.56,
1991-06-11,94.85001,
1991-06-12,95.56,
1991-06-13,95.91,
1991-06-14,95.78999,
1991-06-17,95.78,
1991-06-18,96.73,
1991-06-19,95.60001,
1991-06-20,95.45,
1991-06-21,95.91,
1991-06-24,95.05,
1991-06-25,95.55,
1991-06-26,95.3,
1991-06-27,95.5,
1991-06-28,96.03,
1991-07-01,96.81,
1991-07-02,97.14999,
1991-07-03,97.07001,
1991-07-05,96.72,
1991-07-08,96.03,
1991-07-09,96.48,
1991-07-10,96.35001,
1991-07-11,97.17999,
1991-07-12,95.14999,
1991-07-15,95.21001,
1991-07-16,95.64,
1991-07-17,95.24001,
1991-07-18,94.66,
1991-07-19,93.48,
1991-07-22,94.17,
1991-07-23,94.0,
1991-07-24,93.23,
1991-07-25,94.19,
1991-07-26,93.52,
1991-07-29,93.67999,
1991-07-30,94.0,
1991-07-31,93.49001,
1991-08-01,93.97,
1991-08-02,93.33,
1991-08-05,92.39,
1991-08-06,91.97,
1991-08-07,92.02,
1991-08-08,92.3,
1991-08-09,92.87,
1991-08-12,92.7,
1991-08-13,93.0,
1991-08-14,93.21001,
1991-08-15,93.67999,
1991-08-16,94.38,
1991-08-19,96.46001,
1991-08-20,95.46001,
1991-08-21,93.23,
1991-08-22,92.89999,
1991-08-23,93.58,
1991-08-26,93.56,
1991-08-27,93.60001,
1991-08-28,93.10001,
1991-08-29,93.37,
1991-08-30,93.49001,
1991-09-03,92.95,
1991-09-04,92.92,
1991-09-05,93.0,
1991-09-06,92.12,
1991-09-09,91.16,
1991-09-10,91.16,
1991-09-11,90.95,
1991-09-12,90.77,
1991-09-13,90.95,
1991-09-16,90.34,
1991-09-17,90.24001,
1991-09-18,90.83,
1991-09-19,90.92999,
1991-09-20,90.77,
1991-09-23,90.14999,
1991-09-24,90.85001,
1991-09-25,90.50999,
1991-09-26,90.83,
1991-09-27,90.07001,
1991-09-30,89.89999,
1991-10-01,90.02,
1991-10-02,89.82001,
1991-10-03,89.52,
1991-10-04,90.06,
1991-10-07,90.13,
1991-10-08,91.19,
1991-10-09,90.60001,
1991-10-10,90.81,
1991-10-11,90.5,
1991-10-14,90.92,
1991-10-15,91.52,
1991-10-16,91.25,
1991-10-17,90.75,
1991-10-18,90.42999,
1991-10-21,90.74001,
1991-10-22,91.03,
1991-10-23,91.62,
1991-10-24,91.08,
1991-10-25,91.11,
1991-10-28,91.89,
1991-10-29,90.48,
1991-10-30,89.91,
1991-10-31,89.94,
1991-11-01,88.73,
1991-11-04,88.44,
1991-11-05,88.5,
1991-11-06,88.44,
1991-11-07,88.71001,
1991-11-08,88.91,
1991-11-11,88.64999,
1991-11-12,88.7,
1991-11-13,88.42,
1991-11-14,88.27,
1991-11-15,87.86,
1991-11-18,87.5,
1991-11-19,87.06,
1991-11-20,87.12,
1991-11-21,87.14,
1991-11-22,86.63,
1991-11-25,86.64999,
1991-11-26,87.60001,
1991-11-27,87.84,
1991-11-29,88.19,
1991-12-02,87.74001,
1991-12-03,87.50999,
1991-12-04,87.10001,
1991-12-05,86.67999,
1991-12-06,85.75,
1991-12-09,86.00999,
1991-12-10,86.25,
1991-12-11,86.25999,
1991-12-12,86.48,
1991-12-13,86.62,
1991-12-16,86.02,
1991-12-17,85.89,
1991-12-18,85.88,
1991-12-19,85.48,
1991-12-20,84.46001,
1991-12-23,83.72,
1991-12-24,83.85001,
1991-12-26,83.31,
1991-12-27,83.67,
1991-12-30,83.74001,
1991-12-31,83.53,
1992-01-02,83.88,
1992-01-03,84.42,
1992-01-06,83.11,
1992-01-07,82.84,
1992-01-08,82.96001,
1992-01-09,85.32001,
1992-01-10,86.50999,
1992-01-13,86.16,
1992-01-14,86.67,
1992-01-15,88.17999,
1992-01-16,87.83,
1992-01-17,86.39,
1992-01-20,86.26999,
1992-01-21,86.14999,
1992-01-22,86.25999,
1992-01-23,86.94,
1992-01-24,86.37,
1992-01-27,87.41,
1992-01-28,87.05,
1992-01-29,86.98,
1992-01-30,87.58,
1992-01-31,87.48999,
1992-02-03,87.08,
1992-02-04,86.7,
1992-02-05,86.25,
1992-02-06,86.09999,
1992-02-07,85.28999,
1992-02-10,86.09999,
1992-02-11,86.92999,
1992-02-12,87.5,
1992-02-13,88.28,
1992-02-14,88.31999,
1992-02-17,88.23,
1992-02-18,89.06,
1992-02-19,89.05,
1992-02-20,89.09,
1992-02-21,89.64999,
1992-02-24,89.44,
1992-02-25,89.75,
1992-02-26,89.2,
1992-02-27,88.72,
1992-02-28,88.98999,
1992-03-02,89.19,
1992-03-03,89.95999,
1992-03-04,90.53,
1992-03-05,90.69,
1992-03-06,90.48,
1992-03-09,90.25999,
1992-03-10,90.72,
1992-03-11,90.34999,
1992-03-12,90.83,
1992-03-13,90.84,
1992-03-16,90.50999,
1992-03-17,89.75999,
1992-03-18,89.98999,
1992-03-19,90.91,
1992-03-20,90.94,
1992-03-23,90.67999,
1992-03-24,90.53999,
1992-03-25,90.0,
1992-03-26,90.51999,
1992-03-27,89.56,
1992-03-30,89.81,
1992-03-31,89.64999,
1992-04-01,90.22,
1992-04-02,89.84999,
1992-04-03,89.09,
1992-04-06,89.01999,
1992-04-07,88.84,
1992-04-08,88.98999,
1992-04-09,88.48,
1992-04-10,89.25,
1992-04-13,89.78,
1992-04-14,89.78,
1992-04-15,90.12,
1992-04-16,90.50999,
1992-04-20,90.50999,
1992-04-21,90.5,
1992-04-22,90.20999,
1992-04-23,90.28,
1992-04-24,89.78999,
1992-04-27,89.78,
1992-04-28,89.75,
1992-04-29,89.92999,
1992-04-30,89.62,
1992-05-01,89.12,
1992-05-04,89.45,
1992-05-05,89.03999,
1992-05-06,88.67,
1992-05-07,88.92,
1992-05-08,89.39,
1992-05-11,89.14999,
1992-05-12,88.28999,
1992-05-13,87.59,
1992-05-14,87.94,
1992-05-15,87.62999,
1992-05-18,86.91,
1992-05-19,86.75,
1992-05-20,87.26999,
1992-05-21,87.95999,
1992-05-22,87.89999,
1992-05-26,87.64999,
1992-05-27,88.83,
1992-05-28,88.26999,
1992-05-29,87.22,
1992-06-01,87.09999,
1992-06-02,87.34,
1992-06-03,87.25999,
1992-06-04,87.08,
1992-06-05,86.58,
1992-06-08,86.56999,
1992-06-09,86.72,
1992-06-10,86.78,
1992-06-11,86.00999,
1992-06-12,85.97,
1992-06-15,85.72,
1992-06-16,85.44,
1992-06-17,85.95,
1992-06-18,85.61,
1992-06-19,85.91,
1992-06-22,85.58,
1992-06-23,85.56999,
1992-06-24,84.89999,
1992-06-25,84.28,
1992-06-26,84.12999,
1992-06-29,83.62,
1992-06-30,83.72,
1992-07-01,83.64,
1992-07-02,83.09999,
1992-07-06,83.12999,
1992-07-07,82.14999,
1992-07-08,82.31999,
1992-07-09,83.31999,
1992-07-10,82.62,
1992-07-13,81.84,
1992-07-14,82.17999,
1992-07-15,82.06999,
1992-07-16,81.75,
1992-07-17,81.03999,
1992-07-20,82.53999,
1992-07-21,82.41,
1992-07-22,82.44,
1992-07-23,82.34,
1992-07-24,83.17999,
1992-07-27,82.23,
1992-07-28,81.83,
1992-07-29,82.22,
1992-07-30,81.98,
1992-07-31,81.91,
1992-08-03,81.89999,
1992-08-04,82.03,
1992-08-05,82.3,
1992-08-06,82.14999,
1992-08-07,81.64999,
1992-08-10,81.61,
1992-08-11,81.75,
1992-08-12,81.61,
1992-08-13,81.3,
1992-08-14,81.66,
1992-08-17,81.58,
1992-08-18,81.33,
1992-08-19,81.19,
1992-08-20,80.92,
1992-08-21,80.16,
1992-08-24,78.94,
1992-08-25,78.87,
1992-08-26,79.20999,
1992-08-27,79.31,
1992-08-28,79.17,
1992-08-31,78.87999,
1992-09-01,78.33,
1992-09-02,78.41,
1992-09-03,79.39999,
1992-09-04,78.81999,
1992-09-08,78.48999,
1992-09-09,79.45999,
1992-09-10,79.73999,
1992-09-11,80.64999,
1992-09-14,82.89999,
1992-09-15,83.39,
1992-09-16,84.33,
1992-09-17,83.64,
1992-09-18,84.73,
1992-09-21,84.42,
1992-09-22,84.69,
1992-09-23,84.45,
1992-09-24,84.06999,
1992-09-25,83.84999,
1992-09-28,82.69,
1992-09-29,81.0,
1992-09-30,81.09999,
1992-10-01,81.78999,
1992-10-02,81.36,
1992-10-05,82.39999,
1992-10-06,82.62,
1992-10-07,83.28,
1992-10-08,84.87,
1992-10-09,84.81,
1992-10-12,83.98,
1992-10-13,83.81,
1992-10-14,83.75,
1992-10-15,83.53,
1992-10-16,84.56,
1992-10-19,85.5,
1992-10-20,86.45999,
1992-10-21,86.62999,
1992-10-22,85.92999,
1992-10-23,86.8,
1992-10-26,87.25,
1992-10-27,87.00999,
1992-10-28,87.66,
1992-10-29,87.33,
1992-10-30,87.62999,
1992-11-02,88.84,
1992-11-03,88.55,
1992-11-04,88.64,
1992-11-05,89.20999,
1992-11-06,89.92,
1992-11-09,90.19,
1992-11-10,89.8,
1992-11-11,89.62,
1992-11-12,89.44,
1992-11-13,88.97,
1992-11-16,90.03999,
1992-11-17,90.0,
1992-11-18,89.86,
1992-11-19,89.56,
1992-11-20,91.12,
1992-11-23,90.87,
1992-11-24,90.67999,
1992-11-25,90.41,
1992-11-26,90.75,
1992-11-27,91.11,
1992-11-30,90.83,
1992-12-01,90.11,
1992-12-02,90.03,
1992-12-03,90.14999,
1992-12-04,90.56,
1992-12-07,88.97,
1992-12-08,89.12999,
1992-12-09,89.89,
1992-12-10,90.14999,
1992-12-11,90.12999,
1992-12-14,89.70999,
1992-12-15,89.78,
1992-12-16,89.33,
1992-12-17,89.37,
1992-12-18,89.67999,
1992-12-21,89.83,
1992-12-22,90.75,
1992-12-23,91.05,
1992-12-24,91.17999,
1992-12-25,91.14,
1992-12-28,92.16,
1992-12-29,92.14999,
1992-12-30,92.17,
1992-12-31,92.36,
1993-01-04,93.45999,
1993-01-05,92.64,
1993-01-06,93.06999,
1993-01-07,93.17,
1993-01-08,93.45,
1993-01-11,92.69,
1993-01-12,92.89,
1993-01-13,92.62,
1993-01-14,92.61,
1993-01-15,93.03999,
1993-01-18,92.06,
1993-01-19,92.0,
1993-01-20,91.55,
1993-01-21,92.25,
1993-01-22,91.41,
1993-01-25,90.47,
1993-01-26,90.55,
1993-01-27,91.36,
1993-01-28,91.28,
1993-01-29,92.45999,
1993-02-01,93.56,
1993-02-02,93.92,
1993-02-03,94.23999,
1993-02-04,94.53,
1993-02-05,94.39999,
1993-02-08,94.34999,
1993-02-09,94.03,
1993-02-10,94.47,
1993-02-11,94.31999,
1993-02-12,94.25,
1993-02-15,94.37999,
1993-02-16,93.09,
1993-02-17,92.92999,
1993-02-18,93.2,
1993-02-19,93.37999,
1993-02-22,92.64999,
1993-02-23,92.91,
1993-02-24,93.41,
1993-02-25,93.50999,
1993-02-26,94.00999,
1993-03-01,94.17999,
1993-03-02,93.25,
